,algorithm,n_trees,F,train_acc,test_acc,feature_importance
23,random forest,100,FMethodRF.SQRT,0.887,0.875,"[('Fare', 0.203), ('Age', 0.167), ('Sex', 0.165), ('Pclass', 0.157), ('Parch', 0.133), ('SibSp', 0.093), ('Embarked', 0.082)]"
24,decision forest,1,0.25,0.846,0.881,"[('Sex', 1.0), ('Embarked', 0.0), ('Fare', 0.0), ('Parch', 0.0), ('SibSp', 0.0), ('Age', 0.0), ('Pclass', 0.0)]"
25,decision forest,1,0.5,0.904,0.878,"[('Fare', 0.589), ('Sex', 0.333), ('Embarked', 0.077), ('Parch', 0.0), ('SibSp', 0.0), ('Age', 0.0), ('Pclass', 0.0)]"
26,decision forest,1,0.75,0.83,0.628,"[('Sex', 0.333), ('Fare', 0.26), ('Age', 0.202), ('Pclass', 0.185), ('Embarked', 0.019), ('Parch', 0.0), ('SibSp', 0.0)]"
27,decision forest,1,FMethodDF.RUNIF,0.846,0.881,"[('Sex', 1.0), ('Embarked', 0.0), ('Fare', 0.0), ('Parch', 0.0), ('SibSp', 0.0), ('Age', 0.0), ('Pclass', 0.0)]"
28,decision forest,10,0.25,0.663,0.558,"[('Sex', 0.3), ('Pclass', 0.3), ('Fare', 0.1), ('Parch', 0.1), ('SibSp', 0.1), ('Age', 0.1), ('Embarked', 0.0)]"
29,decision forest,10,0.5,0.88,0.765,"[('Fare', 0.376), ('Sex', 0.167), ('Age', 0.163), ('Parch', 0.093), ('Embarked', 0.091), ('Pclass', 0.085), ('SibSp', 0.026)]"
30,decision forest,10,0.75,0.878,0.753,"[('Sex', 0.267), ('Fare', 0.24), ('Age', 0.19), ('Pclass', 0.154), ('SibSp', 0.068), ('Parch', 0.057), ('Embarked', 0.025)]"
31,decision forest,10,FMethodDF.RUNIF,0.832,0.695,"[('Fare', 0.219), ('Pclass', 0.179), ('Age', 0.176), ('Sex', 0.167), ('SibSp', 0.131), ('Parch', 0.103), ('Embarked', 0.025)]"
32,decision forest,25,0.25,0.774,0.683,"[('Sex', 0.32), ('Fare', 0.2), ('Embarked', 0.12), ('Parch', 0.12), ('Pclass', 0.12), ('SibSp', 0.08), ('Age', 0.04)]"
33,decision forest,25,0.5,0.908,0.814,"[('Fare', 0.395), ('Sex', 0.173), ('Age', 0.153), ('Parch', 0.098), ('Embarked', 0.071), ('Pclass', 0.065), ('SibSp', 0.044)]"
34,decision forest,25,0.75,0.914,0.787,"[('Fare', 0.29), ('Sex', 0.28), ('Age', 0.175), ('Pclass', 0.126), ('SibSp', 0.064), ('Parch', 0.046), ('Embarked', 0.018)]"
35,decision forest,25,FMethodDF.RUNIF,0.932,0.851,"[('Fare', 0.322), ('Sex', 0.227), ('Age', 0.155), ('Pclass', 0.11), ('SibSp', 0.077), ('Parch', 0.059), ('Embarked', 0.05)]"
36,decision forest,50,0.25,0.709,0.61,"[('Sex', 0.24), ('Embarked', 0.16), ('SibSp', 0.16), ('Fare', 0.14), ('Parch', 0.14), ('Pclass', 0.14), ('Age', 0.02)]"
37,decision forest,50,0.5,0.862,0.707,"[('Fare', 0.294), ('Age', 0.175), ('Parch', 0.137), ('Sex', 0.133), ('Pclass', 0.097), ('SibSp', 0.09), ('Embarked', 0.074)]"
38,decision forest,50,0.75,0.932,0.817,"[('Fare', 0.295), ('Sex', 0.24), ('Age', 0.178), ('Pclass', 0.124), ('SibSp', 0.079), ('Parch', 0.061), ('Embarked', 0.023)]"
39,decision forest,50,FMethodDF.RUNIF,0.886,0.784,"[('Fare', 0.257), ('Sex', 0.22), ('Pclass', 0.135), ('Age', 0.126), ('SibSp', 0.106), ('Parch', 0.088), ('Embarked', 0.067)]"
40,decision forest,75,0.25,0.663,0.558,"[('Sex', 0.24), ('Embarked', 0.173), ('Pclass', 0.173), ('Fare', 0.147), ('SibSp', 0.133), ('Parch', 0.107), ('Age', 0.027)]"
41,decision forest,75,0.5,0.875,0.744,"[('Fare', 0.304), ('Age', 0.165), ('Sex', 0.133), ('Pclass', 0.129), ('Parch', 0.104), ('Embarked', 0.083), ('SibSp', 0.083)]"
42,decision forest,75,0.75,0.925,0.796,"[('Fare', 0.288), ('Sex', 0.249), ('Age', 0.172), ('Pclass', 0.134), ('SibSp', 0.076), ('Parch', 0.056), ('Embarked', 0.025)]"
43,decision forest,75,FMethodDF.RUNIF,0.914,0.802,"[('Fare', 0.319), ('Sex', 0.218), ('Age', 0.151), ('Pclass', 0.141), ('SibSp', 0.064), ('Parch', 0.059), ('Embarked', 0.048)]"
44,decision forest,100,0.25,0.663,0.558,"[('Sex', 0.21), ('Pclass', 0.17), ('Embarked', 0.15), ('Fare', 0.15), ('Parch', 0.14), ('SibSp', 0.13), ('Age', 0.05)]"
45,decision forest,100,0.5,0.862,0.713,"[('Fare', 0.27), ('Age', 0.174), ('Pclass', 0.143), ('Sex', 0.14), ('Parch', 0.105), ('SibSp', 0.087), ('Embarked', 0.079)]"
46,decision forest,100,0.75,0.923,0.79,"[('Fare', 0.287), ('Sex', 0.247), ('Age', 0.181), ('Pclass', 0.132), ('SibSp', 0.071), ('Parch', 0.059), ('Embarked', 0.024)]"
47,decision forest,100,FMethodDF.RUNIF,0.913,0.823,"[('Fare', 0.246), ('Sex', 0.217), ('Age', 0.172), ('Pclass', 0.13), ('SibSp', 0.102), ('Parch', 0.08), ('Embarked', 0.052)]"
